"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t","kit"
"2","TCGA-09-2049-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,5,2,FALSE,3,1,FALSE,"931070"
"3","TCGA-09-2050-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"4","TCGA-09-2051-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"931070"
"6","TCGA-09-2055-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"7","TCGA-09-2056-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1.4317012248844,0,TRUE,1,0,TRUE,"931070"
"10","TCGA-13-0757-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"931070"
"12","TCGA-13-2060-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"931070"
"14","TCGA-23-2077-01",5,3,FALSE,5,3,FALSE,5,3,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"15","TCGA-23-2078-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"16","TCGA-23-2079-01",5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,"931070"
"18","TCGA-23-2084-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"20","TCGA-24-2019-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070"
"22","TCGA-24-2030-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"23","TCGA-24-2033-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"24","TCGA-24-2035-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"25","TCGA-24-2036-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"27","TCGA-24-2254-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"29","TCGA-24-2261-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"32","TCGA-24-2271-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"33","TCGA-24-2280-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE,"931070"
